,venture,price,Emi,marketed,location,no_beds,possession_date,Avg
1241,NA,₹30.0 L,EMI starts at ₹15.89 K,NA,"Kollur, Hyderabad",NA,100 sq.yd,Plot Area100 sq.ydAvg. Price₹30.00 K/sq.yd
1242,NA,₹15.0 L,EMI starts at ₹7.94 K,NA,"Kothur, Hyderabad",NA,100 sq.yd,Plot Area100 sq.ydAvg. Price₹15.00 K/sq.yd
1243,NA,₹1.1 Cr,EMI starts at ₹54.61 K,NA,"Subhash Nagar, Trimalgherry,Hyderabad",NA,1350 sq.ft,Build Up Area1350 sq.ftAvg. Price₹8.15 K/sq.ft
1244,NA,₹1.64 Cr,EMI starts at ₹81.21 K,NA,"Aminpur, Hyderabad",NA,1762 sq.ft,Build Up Area1762 sq.ftAvg. Price₹9.28 K/sq.ft
1245,NA,₹62.21 L,EMI starts at ₹32.94 K,NA,"Alwal, Hyderabad",NA,1296 sq.ft,Build Up Area1296 sq.ftAvg. Price₹4.80 K/sq.ft
1246,NA,₹34.5 L,EMI starts at ₹18.27 K,NA,"VASAVIS HEIGHTS,Velimela, Hyderabad",NA,1500 sq.ft,Build Up Area1500 sq.ftAvg. Price₹2.30 K/sq.ft
1247,NA,₹1.1 Cr,EMI starts at ₹54.61 K,NA,"Ananth Nagar, Dr A S Rao Nagar Colony,Hyderabad",NA,1350 sq.ft,Build Up Area1350 sq.ftAvg. Price₹8.15 K/sq.ft
1248,NA,₹1.95 Cr,EMI starts at ₹96.81 K,NA,"Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad",NA,2700 sq.ft,Build Up Area2700 sq.ftAvg. Price₹7.22 K/sq.ft
1249,NA,₹2.1 Cr,EMI starts at ₹1.04 Lacs,NA,"Sri Ramanapuram, Gaddi Annaram,Hyderabad",NA,4520 sq.ft,Build Up Area4520 sq.ftAvg. Price₹4.65 K/sq.ft
1250,NA,₹2.28 Cr,EMI starts at ₹1.13 Lacs,NA,"Miyapur, Hyderabad",NA,2300 sq.ft,Build Up Area2300 sq.ftAvg. Price₹9.91 K/sq.ft
1251,NA,₹55.0 L,EMI starts at ₹29.13 K,NA,"Laxmi Nagar, Kondapur,Hyderabad",NA,1000 sq.ft,Build Up Area1000 sq.ftAvg. Price₹5.50 K/sq.ft
1252,NA,₹70.0 L,EMI starts at ₹37.07 K,NA,"Karol Bagh MP,Mehdipatnam, Hyderabad",NA,1330 sq.ft,Build Up Area1330 sq.ftAvg. Price₹5.26 K/sq.ft
1253,NA,₹31.0 L,EMI starts at ₹16.42 K,NA,"Kollur, Hyderabad",NA,100 sq.yd,Plot Area100 sq.ydAvg. Price₹31.00 K/sq.yd
1254,NA,₹15.0 L,EMI starts at ₹7.94 K,NA,"Mansanpally, Hyderabad",NA,100 sq.yd,Plot Area100 sq.ydAvg. Price₹15.00 K/sq.yd
1255,NA,₹30.0 L,EMI starts at ₹15.89 K,NA,"Nandigama, Hyderabad",NA,100 sq.yd,Plot Area100 sq.ydAvg. Price₹30.00 K/sq.yd
1256,NA,₹30.0 L,EMI starts at ₹15.89 K,NA,"Kothur, Hyderabad",NA,200 sq.yd,Plot Area200 sq.ydAvg. Price₹15.00 K/sq.yd
1257,NA,₹51.3 L,EMI starts at ₹27.17 K,NA,Vasu Sri Sunrise,NA,1150 sq.ft,Build Up Area1150 sq.ftAvg. Price₹4.46 K/sq.ft
1258,NA,₹1.13 Cr,EMI starts at ₹55.94 K,NA,Gothic Pentagon Clouds,NA,2300 sq.ft,Build Up Area2300 sq.ftAvg. Price₹4.90 K/sq.ft
1259,NA,₹74.39 L,EMI starts at ₹39.39 K,NA,"Miyapur, Hyderabad",NA,1200 sq.ft,Build Up Area1200 sq.ftAvg. Price₹6.20 K/sq.ft
1260,NA,₹60.75 L,EMI starts at ₹32.17 K,NA,"Narsingi, Hyderabad",NA,1350 sq.ft,Build Up Area1350 sq.ftAvg. Price₹4.50 K/sq.ft
1261,NA,₹72.0 L,EMI starts at ₹38.13 K,NA,"Narsingi, Hyderabad",NA,1600 sq.ft,Build Up Area1600 sq.ftAvg. Price₹4.50 K/sq.ft
1262,NA,₹28.0 L,EMI starts at ₹14.83 K,NA,"Osman Nagar, Hyderabad",NA,1120 sq.ft,Build Up Area1120 sq.ftAvg. Price₹2.50 K/sq.ft
1263,NA,₹79.0 L,EMI starts at ₹39.22 K,NA,"Adibatla, Hyderabad",NA,1100 sq.ft,Build Up Area1100 sq.ftAvg. Price₹7.18 K/sq.ft
1264,NA,₹1.1 Cr,EMI starts at ₹54.61 K,NA,"RLV VILLA PROJECT ,Patancheru, Hyderabad",NA,2300 sq.ft,Build Up Area2300 sq.ftAvg. Price₹4.78 K/sq.ft
1265,NA,₹1.3 Cr,EMI starts at ₹64.54 K,NA,"RLV VILLA PROJECT,Patancheru, Hyderabad",NA,2700 sq.ft,Build Up Area2700 sq.ftAvg. Price₹4.81 K/sq.ft
1266,NA,₹74.39 L,EMI starts at ₹39.39 K,NA,"SRI SAI APARTMENTS MIYAPUR,Miyapur, Hyderabad",NA,1200 sq.ft,Build Up Area1200 sq.ftAvg. Price₹6.20 K/sq.ft
1267,NA,₹82.45 L,EMI starts at ₹40.93 K,NA,"SRI SAI APARTMENTS MIYAPUR,Miyapur, Hyderabad",NA,1330 sq.ft,Build Up Area1330 sq.ftAvg. Price₹6.20 K/sq.ft
1268,NA,₹53.75 L,EMI starts at ₹28.46 K,NA,Alpine GMR Springfield,NA,1120 sq.ft,Build Up Area1120 sq.ftAvg. Price₹4.80 K/sq.ft
1269,NA,₹1.04 Cr,EMI starts at ₹51.82 K,NA,Green Ridge Villas,NA,1740 sq.ft,Build Up Area1740 sq.ftAvg. Price₹6.00 K/sq.ft
1270,NA,₹5.5 L,EMI starts at ₹2.91 K,NA,"JK NAVYA GARDENS,Zaheerabad, Hyderabad",NA,242 sq.yd,Plot Area242 sq.ydAvg. Price₹2.27 K/sq.yd
1271,NA,₹63.93 L,EMI starts at ₹33.86 K,NA,Gothic Pentagon Clouds,NA,1305 sq.ft,Build Up Area1305 sq.ftAvg. Price₹4.90 K/sq.ft
1272,NA,₹1.25 Cr,EMI starts at ₹62.06 K,NA,"VPMC and SAARC ,Mokila, Hyderabad",NA,2610 sq.ft,Build Up Area2610 sq.ftAvg. Price₹4.79 K/sq.ft
1273,NA,₹1.9 Cr,EMI starts at ₹94.33 K,NA,"VPMC and SAS ,Mokila, Hyderabad",NA,3050 sq.ft,Build Up Area3050 sq.ftAvg. Price₹6.23 K/sq.ft
1274,NA,₹60.0 L,EMI starts at ₹31.77 K,NA,"VPMC and SAS ,Kollur, Hyderabad",NA,1950 sq.ft,Build Up Area1950 sq.ftAvg. Price₹3.08 K/sq.ft
1275,NA,₹1.8 Cr,EMI starts at ₹89.14 K,NA,"Vpmc and Elegance villas,Velimela, Hyderabad",NA,3595 sq.ft,Build Up Area3595 sq.ftAvg. Price₹4.99 K/sq.ft
1276,NA,₹1.98 Cr,EMI starts at ₹98.05 K,NA,"Vpmc and Elegance 1 villa,Velimela, Hyderabad",NA,3591 sq.ft,Build Up Area3591 sq.ftAvg. Price₹5.50 K/sq.ft
1277,NA,₹1.38 Cr,EMI starts at ₹68.41 K,NA,"VPMC and SAS PROJECT ,Patelguda, Krishna Reddy Pet,Hyderabad",NA,2650 sq.ft,Build Up Area2650 sq.ftAvg. Price₹5.20 K/sq.ft
1278,NA,₹1.61 Cr,EMI starts at ₹79.93 K,NA,"Kollur, Hyderabad",NA,4590 sq.ft,Build Up Area4590 sq.ftAvg. Price₹3.51 K/sq.ft
1279,NA,₹90.0 L,EMI starts at ₹44.68 K,NA,"Pati, Hyderabad",NA,2700 sq.ft,Build Up Area2700 sq.ftAvg. Price₹3.33 K/sq.ft
1280,NA,₹2.25 Cr,EMI starts at ₹1.12 Lacs,NA,"Vasanth Nagar Colony, Nizampet,Hyderabad",NA,2650 sq.ft,Build Up Area2650 sq.ftAvg. Price₹8.49 K/sq.ft
1281,NA,₹63.74 L,EMI starts at ₹33.75 K,NA,"Gachibowli, Hyderabad",NA,1821 sq.ft,Build Up Area1821 sq.ftAvg. Price₹3.50 K/sq.ft
1282,NA,₹64.51 L,EMI starts at ₹34.16 K,NA,"Gachibowli, Hyderabad",NA,1843 sq.ft,Build Up Area1843 sq.ftAvg. Price₹3.50 K/sq.ft
1283,NA,₹84.88 L,EMI starts at ₹42.14 K,NA,"Gopanpally, Hyderabad",NA,2425 sq.ft,Build Up Area2425 sq.ftAvg. Price₹3.50 K/sq.ft
1284,NA,₹87.61 L,EMI starts at ₹43.49 K,NA,"Gopanpally, Hyderabad",NA,2503 sq.ft,Build Up Area2503 sq.ftAvg. Price₹3.50 K/sq.ft
1285,NA,₹88.94 L,EMI starts at ₹44.15 K,NA,"Gopanpally, Hyderabad",NA,2541 sq.ft,Build Up Area2541 sq.ftAvg. Price₹3.50 K/sq.ft
1286,NA,₹33.0 L,EMI starts at ₹17.48 K,NA,"Osman Nagar, Hyderabad",NA,1160 sq.ft,Build Up Area1160 sq.ftAvg. Price₹2.84 K/sq.ft
1287,NA,₹64.5 L,EMI starts at ₹34.16 K,NA,"Adibatla, Hyderabad",NA,300 sq.yd,Plot Area300 sq.ydAvg. Price₹21.50 K/sq.yd
1288,NA,₹18.3 L,EMI starts at ₹9.69 K,NA,"Western spring fields,Malkapur, Hyderabad",NA,183 sq.yd,Plot Area183 sq.ydAvg. Price₹10.00 K/sq.yd
1289,NA,₹4.24 L,EMI starts at ₹2.24 K,NA,Myneni Peacock Avenue,NA,121 sq.yd,Plot Area121 sq.ydAvg. Price₹3.50 K/sq.yd
1290,NA,₹9.0 L,EMI starts at ₹4.77 K,NA,"eagle infra projects,Kothur, Hyderabad",NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹6.00 K/sq.yd
1291,NA,₹61.6 L,EMI starts at ₹32.62 K,NA,"NLC ADITA,Aminpur, Hyderabad",NA,1200 sq.ft,Build Up Area1200 sq.ftAvg. Price₹5.13 K/sq.ft
1292,NA,₹64.0 L,EMI starts at ₹33.89 K,NA,"Shankarpally, Hyderabad",NA,3600 sq.ft,Plot Area3600 sq.ftAvg. Price₹1.78 K/sq.ft
1293,NA,₹1.25 Cr,EMI starts at ₹61.88 K,NA,Hyderabad HIC Green Avenue Phase 2,NA,1800 sq.ft,Build Up Area1800 sq.ftAvg. Price₹6.92 K/sq.ft
1294,NA,₹68.6 L,EMI starts at ₹36.33 K,NA,Hyderabad HIC Green Avenue Phase 2,NA,965 sq.ft,Build Up Area965 sq.ftAvg. Price₹7.11 K/sq.ft
1295,NA,₹1.09 Cr,EMI starts at ₹53.97 K,NA,Hyderabad HIC Green Avenue,NA,1562 sq.ft,Build Up Area1562 sq.ftAvg. Price₹6.96 K/sq.ft
1296,NA,₹1.16 Cr,EMI starts at ₹57.68 K,NA,"kkrs sunshine,Kukatpally, Hyderabad",NA,1695 sq.ft,Build Up Area1695 sq.ftAvg. Price₹6.85 K/sq.ft
1297,NA,₹14.0 L,EMI starts at ₹7.41 K,NA,"eagle infra farm plots,Kothur, Hyderabad",NA,240 sq.yd,Plot Area240 sq.ydAvg. Price₹5.83 K/sq.yd
1298,NA,₹46.99 L,EMI starts at ₹24.88 K,NA,"vasusri pride ,Gandi Maisamma, Hyderabad",NA,1175 sq.ft,Build Up Area1175 sq.ftAvg. Price₹4.00 K/sq.ft
1299,NA,₹55.19 L,EMI starts at ₹29.22 K,NA,"vasusri pride ,Gandi Maisamma, Hyderabad",NA,1380 sq.ft,Build Up Area1380 sq.ftAvg. Price₹4.00 K/sq.ft
1300,NA,₹63.93 L,EMI starts at ₹33.86 K,NA,Gothic Pentagon Clouds,NA,1305 sq.ft,Build Up Area1305 sq.ftAvg. Price₹4.90 K/sq.ft
1301,NA,₹24.0 L,EMI starts at ₹12.71 K,NA,"eagle infra farm plots,Kothur, Hyderabad",NA,400 sq.yd,Plot Area400 sq.ydAvg. Price₹6.00 K/sq.yd
1302,NA,₹9.0 L,EMI starts at ₹4.77 K,NA,"eagle infra,Kothur, Hyderabad",NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹6.00 K/sq.yd
1303,NA,₹87.35 L,EMI starts at ₹43.36 K,NA,"Towers G,Chandrapuri Colony, LB Nagar,Hyderabad",NA,1344 sq.ft,Build Up Area1344 sq.ftAvg. Price₹6.50 K/sq.ft
1304,NA,₹18.0 L,EMI starts at ₹9.53 K,NA,Real Venus Grand City,NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹12.00 K/sq.yd
1305,NA,₹36.74 L,EMI starts at ₹19.46 K,NA,Metro City,NA,167 sq.yd,Plot Area167 sq.ydAvg. Price₹22.00 K/sq.yd
1306,NA,₹90.0 L,EMI starts at ₹44.68 K,NA,"RK living farms,Mokila, Hyderabad",NA,1000 sq.yd,Plot Area1000 sq.ydAvg. Price₹9.00 K/sq.yd
1307,NA,₹35.0 L,EMI starts at ₹18.53 K,NA,"Kothur, Hyderabad",NA,200 sq.yd,Plot Area200 sq.ydAvg. Price₹17.50 K/sq.yd
1308,NA,₹9.0 L,EMI starts at ₹4.77 K,NA,"eagle infra ,Kothur, Hyderabad",NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹6.00 K/sq.yd
1309,NA,₹10.0 L,EMI starts at ₹5.30 K,NA,"eagle infra farm plots,Thimmapur, Hyderabad",NA,180 sq.yd,Plot Area180 sq.ydAvg. Price₹5.55 K/sq.yd
1310,NA,₹14.0 L,EMI starts at ₹7.41 K,NA,"eagle infra open plots,Shadnagar, Hyderabad",NA,240 sq.yd,Plot Area240 sq.ydAvg. Price₹5.83 K/sq.yd
1311,NA,₹4.7 Cr,EMI starts at ₹2.33 Lacs,NA,My Home Ankura,NA,3223 sq.ft,Build Up Area3223 sq.ftAvg. Price₹14.58 K/sq.ft
1312,NA,₹1.2 Cr,EMI starts at ₹59.58 K,NA,Triton Environ,NA,1655 sq.ft,Build Up Area1655 sq.ftAvg. Price₹7.25 K/sq.ft
1313,NA,₹1.4 Cr,EMI starts at ₹69.50 K,NA,Triton Environ,NA,2000 sq.ft,Build Up Area2000 sq.ftAvg. Price₹7.00 K/sq.ft
1314,NA,₹10.16 L,EMI starts at ₹5.38 K,NA,"Lepakshi greens,Ghatkesar, Hyderabad",NA,3267 sq.ft,Plot Area3267 sq.ftAvg. Price₹311/sq.ft
1315,NA,₹70.5 L,EMI starts at ₹37.33 K,NA,"vallabha residency,ALEAP Industrial Area, Gajularamaram,Hyderabad",NA,1375 sq.ft,Build Up Area1375 sq.ftAvg. Price₹5.13 K/sq.ft
1316,NA,₹1.3 Cr,EMI starts at ₹64.54 K,NA,"HUDA Techno Enclave, Hitech City,Hyderabad",NA,1800 sq.ft,Build Up Area1800 sq.ftAvg. Price₹7.22 K/sq.ft
1317,NA,₹73.52 L,EMI starts at ₹38.93 K,NA,"Sanath Nagar, Hyderabad",NA,1167 sq.ft,Build Up Area1167 sq.ftAvg. Price₹6.30 K/sq.ft
1318,NA,₹73.52 L,EMI starts at ₹38.93 K,NA,"Sanath Nagar, Hyderabad",NA,1167 sq.ft,Build Up Area1167 sq.ftAvg. Price₹6.30 K/sq.ft
1319,NA,₹65.0 L,EMI starts at ₹34.42 K,NA,"urbanrise an alliance,Vasanth Nagar Colony, Nizampet,Hyderabad",NA,1353 sq.ft,Build Up Area1353 sq.ftAvg. Price₹4.80 K/sq.ft
1320,NA,₹7.0 L,EMI starts at ₹3.71 K,NA,"EAGLE INFRA FARM PLOTS,Shadnagar, Hyderabad",NA,120 sq.yd,Plot Area120 sq.ydAvg. Price₹5.83 K/sq.yd
1321,NA,₹77.99 L,EMI starts at ₹38.72 K,NA,"Suchitra, Hyderabad",NA,1500 sq.ft,Build Up Area1500 sq.ftAvg. Price₹5.20 K/sq.ft
1322,NA,₹18.0 L,EMI starts at ₹9.53 K,NA,"EAGLE INFRA OPEN PLOTS,Shadnagar, Hyderabad",NA,300 sq.yd,Plot Area300 sq.ydAvg. Price₹6.00 K/sq.yd
1323,NA,₹5.44 L,EMI starts at ₹2.88 K,NA,"Spring in the village,Jadcherla, Hyderabad",NA,121 sq.yd,Plot Area121 sq.ydAvg. Price₹4.50 K/sq.yd
1324,NA,₹76.1 L,EMI starts at ₹37.78 K,NA,"Gachibowli, Hyderabad",NA,1290 sq.ft,Build Up Area1290 sq.ftAvg. Price₹5.90 K/sq.ft
1325,NA,₹7.0 L,EMI starts at ₹3.71 K,NA,"eagle infra projects,Shadnagar, Hyderabad",NA,120 sq.yd,Plot Area120 sq.ydAvg. Price₹5.83 K/sq.yd
1326,NA,₹10.0 L,EMI starts at ₹5.30 K,NA,"eagle infra farm plots,Thimmapur, Hyderabad",NA,180 sq.yd,Plot Area180 sq.ydAvg. Price₹5.55 K/sq.yd
1327,NA,₹24.0 L,EMI starts at ₹12.71 K,NA,"eagle infra open plots,Shadnagar, Hyderabad",NA,400 sq.yd,Plot Area400 sq.ydAvg. Price₹6.00 K/sq.yd
1328,NA,₹97.0 L,EMI starts at ₹48.16 K,NA,"Vpmc pvt ltd,Bachupally, Hyderabad",NA,1950 sq.ft,Build Up Area1950 sq.ftAvg. Price₹4.97 K/sq.ft
1329,NA,₹97.0 L,EMI starts at ₹48.16 K,NA,"Vpmc pvt ltd,Industrial Development Area Bollaram, Mallampet,Hyderabad",NA,1950 sq.ft,Build Up Area1950 sq.ftAvg. Price₹4.97 K/sq.ft
1330,NA,₹66.0 L,EMI starts at ₹34.95 K,NA,Sree Sree Towers,NA,1149 sq.ft,Build Up Area1149 sq.ftAvg. Price₹5.74 K/sq.ft
1331,NA,₹36.8 L,EMI starts at ₹19.49 K,NA,"Isnapur, Hyderabad",NA,161 sq.yd,Plot Area161 sq.ydAvg. Price₹22.86 K/sq.yd
1332,NA,₹2.91 Cr,EMI starts at ₹1.44 Lacs,NA,Incor Divino,NA,2550 sq.ft,Build Up Area2550 sq.ftAvg. Price₹11.41 K/sq.ft
1333,NA,₹2.5 Cr,EMI starts at ₹1.24 Lacs,NA,"The classe,Kokapet, Hyderabad",NA,3333 sq.ft,Build Up Area3333 sq.ftAvg. Price₹7.50 K/sq.ft
1334,NA,₹2.27 Cr,EMI starts at ₹1.13 Lacs,NA,"The classe,Kokapet, Hyderabad",NA,3030 sq.ft,Build Up Area3030 sq.ftAvg. Price₹7.50 K/sq.ft
1335,NA,₹2.95 Cr,EMI starts at ₹1.47 Lacs,NA,"The classe,Kokapet, Hyderabad",NA,3939 sq.ft,Build Up Area3939 sq.ftAvg. Price₹7.50 K/sq.ft
1336,NA,₹6.0 Cr,EMI starts at ₹2.98 Lacs,NA,"Aurora Colony, SriNagar Colony,Hyderabad",NA,7500 sq.ft,Build Up Area7500 sq.ftAvg. Price₹8.00 K/sq.ft
1337,NA,₹79.61 L,EMI starts at ₹39.52 K,NA,Gothic Pentagon Clouds,NA,1625 sq.ft,Build Up Area1625 sq.ftAvg. Price₹4.90 K/sq.ft
1338,NA,₹54.23 L,EMI starts at ₹28.72 K,NA,"Annapurna Enclave, Chandanagar,Hyderabad",NA,1205 sq.ft,Build Up Area1205 sq.ftAvg. Price₹4.50 K/sq.ft
1339,NA,₹51.75 L,EMI starts at ₹27.40 K,NA,"Kompally, Hyderabad",NA,1150 sq.ft,Build Up Area1150 sq.ftAvg. Price₹4.50 K/sq.ft
1340,NA,₹77.99 L,EMI starts at ₹38.72 K,NA,"Suchitra, Hyderabad",NA,1500 sq.ft,Build Up Area1500 sq.ftAvg. Price₹5.20 K/sq.ft
1341,NA,₹73.52 L,EMI starts at ₹38.93 K,NA,"Sanath Nagar, Hyderabad",NA,1167 sq.ft,Build Up Area1167 sq.ftAvg. Price₹6.30 K/sq.ft
1342,NA,₹14.5 Cr,EMI starts at ₹7.20 Lacs,NA,"Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad",NA,6000 sq.ft,Build Up Area6000 sq.ftAvg. Price₹24.17 K/sq.ft
1343,NA,₹48.0 L,EMI starts at ₹25.42 K,NA,"Patancheru, Hyderabad",NA,1625 sq.ft,Build Up Area1625 sq.ftAvg. Price₹2.95 K/sq.ft
1344,NA,₹59.0 L,EMI starts at ₹31.24 K,NA,"Patancheru, Hyderabad",NA,2050 sq.ft,Build Up Area2050 sq.ftAvg. Price₹2.88 K/sq.ft
1345,NA,₹1.6 Cr,EMI starts at ₹79.43 K,NA,"Aminpur, Hyderabad",NA,1762 sq.ft,Build Up Area1762 sq.ftAvg. Price₹9.08 K/sq.ft
1346,NA,₹42.39 L,EMI starts at ₹22.45 K,NA,"Muthangi, Hyderabad",NA,1055 sq.ft,Build Up Area1055 sq.ftAvg. Price₹4.02 K/sq.ft
1347,NA,₹61.2 L,EMI starts at ₹32.41 K,NA,"Muthangi, Hyderabad",NA,1530 sq.ft,Build Up Area1530 sq.ftAvg. Price₹4.00 K/sq.ft
1348,NA,₹25.5 L,EMI starts at ₹13.50 K,NA,"Shankarpally, Hyderabad",NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹17.00 K/sq.yd
1349,NA,₹95.0 L,EMI starts at ₹47.16 K,NA,"Devi Nagar, Neredmet,Hyderabad",NA,1850 sq.ft,Build Up Area1850 sq.ftAvg. Price₹5.13 K/sq.ft
1350,NA,₹2.28 Cr,EMI starts at ₹1.13 Lacs,NA,"Ananth Nagar, Dr A S Rao Nagar Colony,Hyderabad",NA,1350 sq.ft,Build Up Area1350 sq.ftAvg. Price₹16.89 K/sq.ft
1351,NA,₹1.3 Cr,EMI starts at ₹64.54 K,NA,"Sanjeev Nagar, Malkajgiri,Hyderabad",NA,950 sq.ft,Build Up Area950 sq.ftAvg. Price₹13.68 K/sq.ft
1352,NA,₹2.85 Cr,EMI starts at ₹1.41 Lacs,NA,"Warasiguda, Padmarao Nagar,Hyderabad",NA,4500 sq.ft,Build Up Area4500 sq.ftAvg. Price₹6.33 K/sq.ft
1353,NA,₹1.98 Cr,EMI starts at ₹98.30 K,NA,"Subhash Nagar, Trimalgherry,Hyderabad",NA,2650 sq.ft,Build Up Area2650 sq.ftAvg. Price₹7.47 K/sq.ft
1354,NA,₹1.7 Cr,EMI starts at ₹84.40 K,NA,"Krishna Giri Enclave, Tarnaka,Hyderabad",NA,950 sq.ft,Build Up Area950 sq.ftAvg. Price₹17.89 K/sq.ft
1355,NA,₹66.0 L,EMI starts at ₹34.95 K,NA,"Kollur, Hyderabad",NA,2000 sq.ft,Build Up Area2000 sq.ftAvg. Price₹3.30 K/sq.ft
1356,NA,₹1.2 Cr,EMI starts at ₹59.58 K,NA,"VPMC PVT LTD and SAS,Aminpur, Hyderabad",NA,3000 sq.ft,Build Up Area3000 sq.ftAvg. Price₹4.00 K/sq.ft
1357,NA,₹1.21 Cr,EMI starts at ₹60.21 K,NA,"Vpmc Pvt Ltd and SAS,Aminpur, Hyderabad",NA,2477 sq.ft,Build Up Area2477 sq.ftAvg. Price₹4.90 K/sq.ft
1358,NA,₹1.5 Cr,EMI starts at ₹74.47 K,NA,"Triton environ bahadurpally,Bahadurpally, Hyderabad",NA,2400 sq.ft,Build Up Area2400 sq.ftAvg. Price₹6.25 K/sq.ft
1359,NA,₹3.6 Cr,EMI starts at ₹1.79 Lacs,NA,"Sowjanya Colony, Bowenpally,Hyderabad",NA,4800 sq.ft,Build Up Area4800 sq.ftAvg. Price₹7.50 K/sq.ft
1360,NA,₹55.28 L,EMI starts at ₹29.28 K,NA,"ALEAP Industrial Area, Gajularamaram,Hyderabad",NA,1152 sq.ft,Build Up Area1152 sq.ftAvg. Price₹4.80 K/sq.ft
1361,NA,₹1.3 Cr,EMI starts at ₹64.54 K,NA,"Vpmc and sas,Beeramguda, Ramachandra Puram,Hyderabad",NA,2600 sq.ft,Build Up Area2600 sq.ftAvg. Price₹5.00 K/sq.ft
1362,NA,₹1.2 Cr,EMI starts at ₹59.58 K,NA,"Vpmc and sas,Patelguda, Krishna Reddy Pet,Hyderabad",NA,2600 sq.ft,Build Up Area2600 sq.ftAvg. Price₹4.62 K/sq.ft
1363,NA,₹35.2 L,EMI starts at ₹18.64 K,NA,Bhuvanteza Happy Homes II,NA,1600 sq.ft,Build Up Area1600 sq.ftAvg. Price₹2.20 K/sq.ft
1364,NA,₹85.31 L,EMI starts at ₹42.35 K,NA,Ira Miracle,NA,1855 sq.ft,Build Up Area1855 sq.ftAvg. Price₹4.60 K/sq.ft
1365,NA,₹99.11 L,EMI starts at ₹49.20 K,NA,Ira Miracle,NA,2155 sq.ft,Build Up Area2155 sq.ftAvg. Price₹4.60 K/sq.ft
1366,NA,₹1.13 Cr,EMI starts at ₹56.05 K,NA,Ira Miracle,NA,2455 sq.ft,Build Up Area2455 sq.ftAvg. Price₹4.60 K/sq.ft
1367,NA,₹76.11 L,EMI starts at ₹37.79 K,NA,Ira Miracle,NA,1655 sq.ft,Build Up Area1655 sq.ftAvg. Price₹4.60 K/sq.ft
1368,NA,₹65.56 L,EMI starts at ₹34.72 K,NA,AV Lalitha Divine County,NA,1525 sq.ft,Build Up Area1525 sq.ftAvg. Price₹4.30 K/sq.ft
1369,NA,₹65.56 L,EMI starts at ₹34.72 K,NA,AV Lalitha Divine County,NA,1525 sq.ft,Build Up Area1525 sq.ftAvg. Price₹4.30 K/sq.ft
1370,NA,₹62.4 L,EMI starts at ₹33.04 K,NA,"Alwal, Hyderabad",NA,1300 sq.ft,Build Up Area1300 sq.ftAvg. Price₹4.80 K/sq.ft
1371,NA,₹95.28 L,EMI starts at ₹47.30 K,NA,Forest Edge By Canny,NA,1985 sq.ft,Build Up Area1985 sq.ftAvg. Price₹4.80 K/sq.ft
1372,NA,₹1.2 Cr,EMI starts at ₹59.38 K,NA,"HUDA Techno Enclave, Hitech City,Hyderabad",NA,1840 sq.ft,Build Up Area1840 sq.ftAvg. Price₹6.50 K/sq.ft
1373,NA,₹29.59 L,EMI starts at ₹15.67 K,NA,"Isnapur, Hyderabad",NA,925 sq.ft,Build Up Area925 sq.ftAvg. Price₹3.20 K/sq.ft
1374,NA,₹51.3 L,EMI starts at ₹27.17 K,NA,"Kompally, Hyderabad",NA,1140 sq.ft,Build Up Area1140 sq.ftAvg. Price₹4.50 K/sq.ft
1375,NA,₹17.0 L,EMI starts at ₹9.00 K,NA,"Shankarpally, Hyderabad",NA,100 sq.yd,Plot Area100 sq.ydAvg. Price₹17.00 K/sq.yd
1376,NA,₹22.5 L,EMI starts at ₹11.92 K,NA,"Kothur, Hyderabad",NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹15.00 K/sq.yd
1377,NA,₹38.0 L,EMI starts at ₹20.12 K,NA,"Shivantha Gardenia ,Patancheru, Hyderabad",NA,1030 sq.ft,Build Up Area1030 sq.ftAvg. Price₹3.69 K/sq.ft
1378,NA,₹1.8 Cr,EMI starts at ₹89.39 K,NA,"Aminpur, Hyderabad",NA,1945 sq.ft,Build Up Area1945 sq.ftAvg. Price₹9.26 K/sq.ft
1379,NA,₹1.25 Cr,EMI starts at ₹62.06 K,NA,"Adda Gutta, East Marredpally,Hyderabad",NA,1900 sq.ft,Build Up Area1900 sq.ftAvg. Price₹6.58 K/sq.ft
1380,NA,₹1.45 Cr,EMI starts at ₹71.99 K,NA,"Temple Alwal, Alwal,Hyderabad",NA,2100 sq.ft,Build Up Area2100 sq.ftAvg. Price₹6.90 K/sq.ft
1381,NA,₹1.25 Cr,EMI starts at ₹62.11 K,NA,"Sanjeev Nagar, Malkajgiri,Hyderabad",NA,2085 sq.ft,Build Up Area2085 sq.ftAvg. Price₹6.00 K/sq.ft
1382,NA,₹1.36 Cr,EMI starts at ₹67.47 K,NA,"Sanjeev Nagar, Malkajgiri,Hyderabad",NA,2265 sq.ft,Build Up Area2265 sq.ftAvg. Price₹6.00 K/sq.ft
