,venture,price,Emi,marketed,location,no_beds,possession_date,Avg
149,Hastina Agalia,₹43.5 L - 89.32 L,EMI starts at ₹23.03 K,Marketed by  hastina realty pvt ltd,"Kompally,North Hyderabad,Hyderabad",Residential Plots for sale in Kompally,Ready to Move,Possession StatusReady to MoveAvg. Price₹29.00 K/sq.yd
150,2 Getherments KSRs Togetherments,₹1.19 Cr - 1.45 Cr,EMI starts at ₹59.05 K,Marketed by  2gatherments,"Hafeezpet,North Hyderabad,Hyderabad",3 BHK Flat for sale in Hafeezpet,"Mar, 2023","Possession StartsMar, 2023Avg. Price₹7.50 K/sq.ft"
151,Dharani Villa,₹99 L - 1.09 Cr,EMI starts at ₹49.15 K,Marketed by  Kishore,"Godumakunta,Hyderabad","3, 4 BHK Villas for sale in Godumakunta","Oct, 2022","Possession StartsOct, 2022Avg. Price₹3.67 K/sq.ft"
152,Triton Environ,₹1.42 Cr - 1.59 Cr,EMI starts at ₹70.37 K,By  Triton Infra,"Kompally, Hyderabad",3 BHK Villa for sale in Kompally,"Jul, 2022","Possession StartsJul, 2022Avg. Price₹6.30 K/sq.ft"
153,NA,₹25.0 L,EMI starts at ₹13.24 K,NA,Peram Adithya Pride 2,NA,180 sq.yd,Plot Area180 sq.ydAvg. Price₹13.89 K/sq.yd
154,NA,₹1.15 Cr,EMI starts at ₹57.09 K,NA,Hallmark Treasor,NA,2040 sq.ft,Build Up Area2040 sq.ftAvg. Price₹5.64 K/sq.ft
155,NA,₹1.15 Cr,EMI starts at ₹57.09 K,NA,Sri Aditya Wiiz Lagoon by Sri Aditya Homes Pvt. Ltd.,NA,1541 sq.ft,Build Up Area1541 sq.ftAvg. Price₹7.46 K/sq.ft
156,NA,₹30.0 L,EMI starts at ₹15.89 K,NA,"prathista properties,Maheshwaram, Hyderabad",NA,5000 sq.yd,Plot Area5000 sq.ydAvg. Price₹600/sq.yd
157,NA,₹1.97 Cr,EMI starts at ₹97.80 K,NA,"Courtyard villa ,Shankarpally, Hyderabad",NA,3000 sq.ft,Build Up Area3000 sq.ftAvg. Price₹6.57 K/sq.ft
158,NA,₹27.0 L,EMI starts at ₹14.30 K,NA,"Shamirpet, Hyderabad",NA,1155 sq.ft,Build Up Area1155 sq.ftAvg. Price₹2.34 K/sq.ft
159,NA,₹10.35 L,EMI starts at ₹5.48 K,NA,"Sadasivpet, Hyderabad",NA,1350 sq.ft,Plot Area1350 sq.ftAvg. Price₹766/sq.ft
160,NA,₹26.0 L,EMI starts at ₹13.77 K,NA,Subhagruha Sukrithi Royal Plots,NA,1795 sq.ft,Plot Area1795 sq.ftAvg. Price₹1.45 K/sq.ft
161,NA,₹1.1 Cr,EMI starts at ₹54.61 K,NA,Green Mark Mayfair Apartments,NA,1825 sq.ft,Build Up Area1825 sq.ftAvg. Price₹6.03 K/sq.ft
162,NA,₹1.76 Cr,EMI starts at ₹87.38 K,NA,Cybercity Marina Skies,NA,2220 sq.ft,Build Up Area2220 sq.ftAvg. Price₹7.93 K/sq.ft
163,NA,₹1.08 Cr,EMI starts at ₹53.62 K,NA,Giridhari Executive Park by Giridhari Homes Pvt Ltd,NA,1800 sq.ft,Build Up Area1800 sq.ftAvg. Price₹6.00 K/sq.ft
164,NA,₹1.5 Cr,EMI starts at ₹74.47 K,NA,Aliens Space Station,NA,1874 sq.ft,Build Up Area1874 sq.ftAvg. Price₹8.00 K/sq.ft
165,NA,₹49.5 L,EMI starts at ₹26.21 K,NA,"Bharathi builders,Kompally, Hyderabad",NA,1100 sq.ft,Build Up Area1100 sq.ftAvg. Price₹4.50 K/sq.ft
166,NA,₹98.0 L,EMI starts at ₹48.65 K,NA,"Turkayamjal, Hyderabad",NA,3888 sq.ft,Plot Area3888 sq.ftAvg. Price₹2.52 K/sq.ft
167,Vessella Woods,₹5.73 Cr - 7.05 Cr,EMI starts at ₹2.85 Lacs,By  Vessella Group,"Serilingampally,North Hyderabad,Hyderabad",4 BHK Villa for sale in Serilingampally,"Jan, 2022","Possession StartsJan, 2022Avg. Price₹16.00 K/sq.ft"
168,Koncept Botanika,₹2.23 Cr - 7.31 Cr,EMI starts at ₹1.11 Lacs,Marketed by  Proptiger,"Gachibowli,West Hyderabad,Hyderabad","3, 3.5, 4, 4.5, 5, 5.5 BHK Flats for sale in Gachibowli","Dec, 2015","Possession StartsDec, 2015Avg. Price₹8.50 K/sq.ft"
169,Vishal Sanjivini,₹2.78 Cr - 4.1 Cr,EMI starts at ₹1.38 Lacs,By  Vishal Projects Private Limited,"Off Srisailam Highway, Hyderabad",4 BHK Villa for sale in Sreenagar,"Nov, 2024","Possession StartsNov, 2024Avg. Price₹8.65 K/sq.ft"
170,Sensation Hyderabad One,Price on Request,NA,By  Sensation Infracon Private Limited,"Nanakaramguda,West Hyderabad,Hyderabad",1 BHK Flat for sale in Nanakaramguda,"Jun, 2026","Possession StartsJun, 2026"
171,DRR s Happy Residency,₹32.99 L - 87.66 L,EMI starts at ₹17.47 K,By  DRR Group,"Maheshwaram,South Hyderabad,Hyderabad",Residential Plots for sale in Maheshwaram,"Jan, 2022","Possession StartsJan, 2022Avg. Price₹18.00 K/sq.yd"
172,Trishala The Village,₹2.28 Cr,EMI starts at ₹1.13 Lacs,By  Trishala Infrastructure ,"Sathamrai Village,South Hyderabad,Hyderabad",3 BHK Villa for sale in Sathamrai Village,"Jan, 2023","Possession StartsJan, 2023Avg. Price₹8.52 K/sq.ft"
173,NA,₹5.0 Cr,EMI starts at ₹2.48 Lacs,NA,"Mansanpally, Hyderabad",NA,6000 sq.ft,Build Up Area6000 sq.ftAvg. Price₹8.33 K/sq.ft
174,NA,₹2.8 Cr,EMI starts at ₹1.39 Lacs,NA,"MCH Colony, Old Malakpet,Hyderabad",NA,5000 sq.ft,Build Up Area5000 sq.ftAvg. Price₹5.60 K/sq.ft
175,NA,₹55.0 L,EMI starts at ₹29.13 K,NA, Lakeview,NA,1100 sq.ft,Build Up Area1100 sq.ftAvg. Price₹5.00 K/sq.ft
176,NA,₹42.0 L,EMI starts at ₹22.24 K,NA,"LR Green Valley,Medchal, Hyderabad",NA,1800 sq.ft,Plot Area1800 sq.ftAvg. Price₹2.33 K/sq.ft
177,NA,₹10.45 L,EMI starts at ₹5.53 K,NA,"Sadasivpet, Hyderabad",NA,160 sq.yd,Plot Area160 sq.ydAvg. Price₹6.53 K/sq.yd
178,NA,₹1.4 Cr,EMI starts at ₹69.50 K,NA,"Tellapur, Hyderabad",NA,1010 sq.ft,Build Up Area1010 sq.ftAvg. Price₹13.86 K/sq.ft
179,NA,₹66.74 L,EMI starts at ₹35.34 K,NA,Signature Altius,NA,1420 sq.ft,Build Up Area1420 sq.ftAvg. Price₹4.70 K/sq.ft
180,NA,₹43.0 L,EMI starts at ₹22.77 K,NA,"Dasika pride,Indresham, Hyderabad",NA,1130 sq.ft,Build Up Area1130 sq.ftAvg. Price₹3.81 K/sq.ft
181,NA,₹1.75 Cr,EMI starts at ₹86.88 K,NA,Vajra Jasmine County,NA,2005 sq.ft,Build Up Area2005 sq.ftAvg. Price₹8.73 K/sq.ft
182,NA,₹10.5 L,EMI starts at ₹5.56 K,NA,"Sadasivpet, Hyderabad",NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹7.00 K/sq.yd
183,NA,₹1.6 Cr,EMI starts at ₹79.43 K,NA,"Kompally, Hyderabad",NA,2400 sq.ft,Plot Area2400 sq.ftAvg. Price₹6.67 K/sq.ft
184,NA,₹88.2 L,EMI starts at ₹43.79 K,NA,"Chengicherla, Hyderabad",NA,1890 sq.ft,Plot Area1890 sq.ftAvg. Price₹4.67 K/sq.ft
185,NA,₹50.0 L,EMI starts at ₹26.48 K,NA,"Urban Ridge,Shankarpally, Hyderabad",NA,200 sq.yd,Plot Area200 sq.ydAvg. Price₹25.00 K/sq.yd
186,NA,₹1.39 Cr,EMI starts at ₹69.01 K,NA,"Abhis Aloha  Pedda amberpeth,RTC Supervisors Colony, Hayathnagar,Hyderabad",NA,2184 sq.ft,Build Up Area2184 sq.ftAvg. Price₹6.36 K/sq.ft
187,Sai Nikhitha Temple Town,₹24.75 L - 49.5 L,EMI starts at ₹13.11 K,Marketed by  Ruthvika,"Yadagirigutta,Hyderabad",Residential Plots for sale in Yadagirigutta,Ready to Move,Possession StatusReady to MoveAvg. Price₹16.50 K/sq.yd
188,Cybercity Oriana,₹91.24 L - 1.74 Cr,EMI starts at ₹45.30 K,By  Cybercity Oriana ,"Borabanda,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Borabanda","Dec, 2025","Possession StartsDec, 2025Avg. Price₹7.30 K/sq.ft"
189,Aavasa Constructions Emerald,₹77.68 L - 1.64 Cr,EMI starts at ₹38.56 K,By  Aavasa Constructions,"LB Nagar,East Hyderabad,Hyderabad","2, 3 BHK Flats for sale in LB Nagar","Dec, 2023","Possession StartsDec, 2023Avg. Price₹6.50 K/sq.ft"
190,GHR Titania,₹1.19 Cr - 1.65 Cr,EMI starts at ₹59.17 K,By  GHR Infra,"Kondapur, Hyderabad",3 BHK Flat for sale in Serilingampally,"Dec, 2023","Possession StartsDec, 2023Avg. Price₹6.75 K/sq.ft"
191,On Cloud 33,₹66.59 L - 1.15 Cr,EMI starts at ₹35.26 K,Marketed by  Lorven ,"Bachupally, Hyderabad","2, 3, 4 BHK Flats for sale in Bachupally","Mar, 2026","Possession StartsMar, 2026Avg. Price₹6.00 K/sq.ft"
192,Mahaveer Palm Grove,₹80.42 L - 1.61 Cr,EMI starts at ₹39.92 K,By  Mahaveer Group,"Begumpet,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Begumpet","Jun, 2023","Possession StartsJun, 2023Avg. Price₹7.80 K/sq.ft"
193,NA,₹1.39 Cr,EMI starts at ₹69.01 K,NA,"Abhis Aloha Pedda Amberpeth,RTC Supervisors Colony, Hayathnagar,Hyderabad",NA,2184 sq.ft,Build Up Area2184 sq.ftAvg. Price₹6.36 K/sq.ft
194,NA,₹1.05 Cr,EMI starts at ₹52.13 K,NA,"Maheshwaram, Hyderabad",NA,2200 sq.ft,Build Up Area2200 sq.ftAvg. Price₹4.77 K/sq.ft
195,NA,₹24.0 L,EMI starts at ₹12.71 K,NA,"Subha Avasa Infra Developers,Mansanpally, Hyderabad",NA,1200 sq.ft,Plot Area1200 sq.ftAvg. Price₹2.00 K/sq.ft
196,NA,₹14.0 L,EMI starts at ₹7.41 K,NA,"Kadthal, Hyderabad",NA,1800 sq.ft,Plot Area1800 sq.ftAvg. Price₹777/sq.ft
197,NA,₹8.03 L,EMI starts at ₹4.25 K,NA,"BBG Groups True Gold Hills,Shadnagar, Hyderabad",NA,1319 sq.ft,Plot Area1319 sq.ftAvg. Price₹608/sq.ft
198,NA,₹75.0 L,EMI starts at ₹39.72 K,NA,"TNR Northcity Residences,Green Park, Jeedimetla,Hyderabad",NA,1476 sq.ft,Build Up Area1476 sq.ftAvg. Price₹5.08 K/sq.ft
199,NA,₹1.0 Cr,EMI starts at ₹49.65 K,NA,Phoenix Golf Edge,NA,1100 sq.ft,Build Up Area1100 sq.ftAvg. Price₹9.09 K/sq.ft
200,NA,₹46.43 L,EMI starts at ₹24.59 K,NA,"Akruthi Heights,Patancheru, Hyderabad",NA,1080 sq.ft,Build Up Area1080 sq.ftAvg. Price₹4.30 K/sq.ft
201,NA,₹10.89 L,EMI starts at ₹5.77 K,NA,"Green Leaves,Atmakur, Hyderabad",NA,242 sq.yd,Plot Area242 sq.ydAvg. Price₹4.50 K/sq.yd
202,NA,₹30.0 L,EMI starts at ₹15.89 K,NA,"Shadnagar, Hyderabad",NA,200 sq.yd,Plot Area200 sq.ydAvg. Price₹15.00 K/sq.yd
203,NA,₹57.0 L,EMI starts at ₹30.18 K,NA,SKT Vishnu Srinivasam,NA,1330 sq.ft,Build Up Area1330 sq.ftAvg. Price₹4.29 K/sq.ft
204,NA,₹27.5 L,EMI starts at ₹14.56 K,NA,"Bhanur, Hyderabad",NA,1100 sq.ft,Build Up Area1100 sq.ftAvg. Price₹2.50 K/sq.ft
205,NA,₹56.25 L,EMI starts at ₹29.79 K,NA,"Kothur, Hyderabad",NA,450 sq.yd,Plot Area450 sq.ydAvg. Price₹12.50 K/sq.yd
206,NA,₹30.0 L,EMI starts at ₹15.89 K,NA,"HIGHWAY VENTURE,Shadnagar, Hyderabad",NA,1500 sq.ft,Plot Area1500 sq.ftAvg. Price₹2.00 K/sq.ft
207,Fortune Green Sapphire,₹51.65 L - 85.5 L,EMI starts at ₹27.35 K,Marketed by  Ramana,"Tellapur,West Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Tellapur","Jun, 2024","Possession StartsJun, 2024Avg. Price₹5.00 K/sq.ft"
208,Riddhi Golden Nest,₹80.96 L - 1.07 Cr,EMI starts at ₹40.19 K,By  Riddhi Group,"Manikonda,West Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Manikonda","Jun, 2022","Possession StartsJun, 2022Avg. Price₹6.30 K/sq.ft"
209,Dukes County Phase II,₹79.99 L - 1.87 Cr,EMI starts at ₹39.71 K,By  Haripriya Developers,"Kollur, Hyderabad",Residential Plots for sale in Kollur,"Nov, 2022","Possession StartsNov, 2022Avg. Price₹40.00 K/sq.yd"
210,Hallmark Sunnyside,₹78.74 L - 1.3 Cr,EMI starts at ₹39.09 K,By  Hallmark Builders ,"Manchirevula,West Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Manchirevula","Dec, 2022","Possession StartsDec, 2022Avg. Price₹6.30 K/sq.ft"
211,Tribhuja,₹44.87 L - 66.79 L,EMI starts at ₹23.76 K,By  Tribhuja Realty,Kollur,"2, 3 BHK Flats for sale in Tellapur","Jun, 2024","Possession StartsJun, 2024Avg. Price₹3.40 K/sq.ft"
212,The Olympus,₹1.25 Cr - 2.25 Cr,EMI starts at ₹62.17 K,By  Sumadhura Infracon Pvt Ltd,"Nanakaramguda,West Hyderabad,Hyderabad","3, 3.5 BHK Flats for sale in Nanakaramguda","Jan, 2027","Possession StartsJan, 2027Avg. Price₹7.50 K/sq.ft"
213,NA,₹28.86 L,EMI starts at ₹15.28 K,NA,"Pragna Hill County,Bhuvanagiri, Hyderabad",NA,1998 sq.ft,Plot Area1998 sq.ftAvg. Price₹1.44 K/sq.ft
214,NA,₹35.0 L,EMI starts at ₹18.53 K,NA,"Rudra Avenue Abdullapurmet,Abdullapurmet, Hyderabad",NA,1217 sq.ft,Build Up Area1217 sq.ftAvg. Price₹2.88 K/sq.ft
